t,case_id,I_T,disp_vol,KB,KG,FSC,BM,KM,GM,delta,GM_eff,classical_GM_sign,GM_safe,a,r,s,SSB_status
170,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,110.70000000000013,DENY
171,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,111.20000000000013,DENY
172,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,111.70000000000013,DENY
173,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,112.20000000000013,DENY
174,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,112.70000000000013,DENY
175,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,113.20000000000013,DENY
176,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,113.70000000000013,DENY
177,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,114.20000000000013,DENY
178,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,114.70000000000013,DENY
179,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,115.20000000000013,DENY
180,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.06,0.0,UNSTABLE,0.15,0.0,1.0,116.10000000000014,DENY
181,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.06,0.0,UNSTABLE,0.15,0.0,1.0,117.00000000000014,DENY
182,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.06,0.0,UNSTABLE,0.15,0.0,1.0,117.90000000000015,DENY
183,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.06,0.0,UNSTABLE,0.15,0.0,1.0,118.80000000000015,DENY
184,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.06,0.0,UNSTABLE,0.15,0.0,1.0,119.70000000000016,DENY
185,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.06,0.0,UNSTABLE,0.15,0.0,1.0,120.60000000000016,DENY
186,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.06,0.0,UNSTABLE,0.15,0.0,1.0,121.50000000000017,DENY
187,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,122.00000000000017,DENY
188,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,122.50000000000017,DENY
189,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,123.00000000000017,DENY
190,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,123.50000000000017,DENY
191,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,124.00000000000017,DENY
192,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,124.50000000000017,DENY
193,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,125.00000000000017,DENY
194,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,125.50000000000017,DENY
195,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,126.00000000000017,DENY
196,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,126.50000000000017,DENY
197,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,127.00000000000017,DENY
198,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,127.50000000000017,DENY
199,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,128.00000000000017,DENY
