j,case_id,I_T,disp_vol,KB,KG,FSC,BM,KM,GM,GM_eff,classical_GM_sign,GM_safe,a,r,s,SSB_status
13,DISP_SWEEP,3.6,8.25,0.55,0.95,0.05,0.4363636363636364,0.9863636363636364,0.03636363636363649,-0.013636363636363516,UNSTABLE,0.15,0.0,1.0909090909090902,5.067355393339814,DENY
14,DISP_SWEEP,3.6,8.5,0.55,0.95,0.05,0.4235294117647059,0.973529411764706,0.02352941176470602,-0.026470588235293982,UNSTABLE,0.15,0.0,1.1764705882352933,6.143825981575107,DENY
15,DISP_SWEEP,3.6,8.75,0.55,0.95,0.05,0.4114285714285714,0.9614285714285715,0.011428571428571566,-0.03857142857142844,UNSTABLE,0.15,0.0,1.2571428571428562,7.300968838717964,DENY
16,DISP_SWEEP,3.6,9.0,0.55,0.95,0.05,0.4,0.9500000000000001,1.1102230246251565e-16,-0.04999999999999989,UNSTABLE,0.15,0.0,1.3333333333333326,8.534302172051296,DENY
17,DISP_SWEEP,3.6,9.25,0.55,0.95,0.05,0.3891891891891892,0.9391891891891893,-0.0108108108108107,-0.0608108108108107,UNSTABLE,0.15,0.0,1.4054054054054048,9.8397075774567,DENY
18,DISP_SWEEP,3.6,9.5,0.55,0.95,0.05,0.37894736842105264,0.9289473684210527,-0.021052631578947212,-0.07105263157894721,UNSTABLE,0.15,0.0,1.4736842105263148,11.213391787983015,DENY
19,DISP_SWEEP,3.6,9.75,0.55,0.95,0.05,0.36923076923076925,0.9192307692307693,-0.03076923076923066,-0.08076923076923066,UNSTABLE,0.15,0.0,1.5384615384615379,12.651853326444552,DENY
20,DISP_SWEEP,3.6,10.0,0.55,0.95,0.05,0.36,0.91,-0.039999999999999925,-0.08999999999999993,UNSTABLE,0.15,0.0,1.5999999999999996,14.151853326444552,DENY
21,DISP_SWEEP,3.6,10.25,0.55,0.95,0.05,0.351219512195122,0.9012195121951221,-0.04878048780487787,-0.09878048780487787,UNSTABLE,0.15,0.0,1.6585365853658525,15.710389911810404,DENY
22,DISP_SWEEP,3.6,10.5,0.55,0.95,0.05,0.34285714285714286,0.8928571428571429,-0.05714285714285705,-0.10714285714285705,UNSTABLE,0.15,0.0,1.7142857142857137,17.324675626096116,DENY
23,DISP_SWEEP,3.6,10.75,0.55,0.95,0.05,0.33488372093023255,0.8848837209302326,-0.06511627906976736,-0.11511627906976736,UNSTABLE,0.15,0.0,1.7674418604651159,18.99211748656123,DENY
24,DISP_SWEEP,3.6,11.0,0.55,0.95,0.05,0.32727272727272727,0.8772727272727273,-0.07272727272727264,-0.12272727272727264,UNSTABLE,0.15,0.0,1.8181818181818177,20.71029930474305,DENY
25,DISP_SWEEP,3.6,11.25,0.55,0.95,0.05,0.32,0.8700000000000001,-0.07999999999999985,-0.12999999999999984,UNSTABLE,0.15,0.0,1.8666666666666656,22.476965971409715,DENY
26,DISP_SWEEP,3.6,11.5,0.55,0.95,0.05,0.3130434782608696,0.8630434782608696,-0.08695652173913038,-0.13695652173913037,UNSTABLE,0.15,0.0,1.9130434782608692,24.290009449670585,DENY
27,DISP_SWEEP,3.6,11.75,0.55,0.95,0.05,0.30638297872340425,0.8563829787234043,-0.09361702127659566,-0.14361702127659565,UNSTABLE,0.15,0.0,1.9574468085106376,26.147456258181222,DENY
28,DISP_SWEEP,3.6,12.0,0.55,0.95,0.05,0.3,0.8500000000000001,-0.09999999999999987,-0.14999999999999986,UNSTABLE,0.15,0.0,1.9999999999999991,28.04745625818122,DENY
29,DISP_SWEEP,3.6,12.25,0.55,0.95,0.05,0.2938775510204082,0.8438775510204082,-0.10612244897959178,-0.15612244897959177,UNSTABLE,0.15,0.0,2.040816326530612,29.988272584711833,DENY
30,DISP_SWEEP,3.6,12.5,0.55,0.95,0.05,0.28800000000000003,0.8380000000000001,-0.11199999999999988,-0.16199999999999987,UNSTABLE,0.15,0.0,2.079999999999999,31.968272584711833,DENY
31,DISP_SWEEP,3.6,12.75,0.55,0.95,0.05,0.2823529411764706,0.8323529411764706,-0.11764705882352933,-0.16764705882352932,UNSTABLE,0.15,0.0,2.117647058823529,33.98591964353536,DENY
32,DISP_SWEEP,3.6,13.0,0.55,0.95,0.05,0.27692307692307694,0.826923076923077,-0.12307692307692297,-0.17307692307692296,UNSTABLE,0.15,0.0,2.1538461538461533,36.03976579738151,DENY
33,DISP_SWEEP,3.6,13.25,0.55,0.95,0.05,0.27169811320754716,0.8216981132075472,-0.1283018867924528,-0.1783018867924528,UNSTABLE,0.15,0.0,2.1886792452830184,38.12844504266453,DENY
34,DISP_SWEEP,3.6,13.5,0.55,0.95,0.05,0.26666666666666666,0.8166666666666667,-0.1333333333333333,-0.1833333333333333,UNSTABLE,0.15,0.0,2.2222222222222223,40.25066726488675,DENY
35,DISP_SWEEP,3.6,13.75,0.55,0.95,0.05,0.26181818181818184,0.8118181818181819,-0.13818181818181807,-0.18818181818181806,UNSTABLE,0.15,0.0,2.254545454545454,42.40521271943221,DENY
36,DISP_SWEEP,3.6,14.0,0.55,0.95,0.05,0.2571428571428572,0.8071428571428572,-0.1428571428571428,-0.19285714285714278,UNSTABLE,0.15,0.0,2.2857142857142856,44.59092700514649,DENY
